country,alpha3code,pop,density,medianage,urbanpop,smokers,lung,gdp2019,healthexp,healthperpop,avgtemp,avghumidity,firstcase
Niger,NER,"24,206,644",19.0,15.2,16.5,9.4,24.86,"9,443",68,2.809146117,,,3/18/2020
Nigeria,NGA,"206,139,589",226.0,18.0,52.0,9.25,21.14,"446,543",215,1.042982578,39.86666667,18.21666667,2/27/2020
North Macedonia,MKD,"2,083,374",83.0,39.0,59.0,,22.14,"12,672",857,411.35197039999997,9.833333332999999,68.45,2/25/2020
Norway,NOR,"5,421,241",15.0,40.0,83.0,22.25,26.13,"417,627","6,222",1147.707693,2.383333333,79.36666667,2/25/2020
Oman,OMN,"5,106,626",16.0,31.0,87.0,11.0,10.87,"76,609","1,636",320.3680865,24.4,55.96666667,2/23/2020
Pakistan,PAK,"220,892,340",287.0,23.0,35.0,22.45,50.61,"284,214",134,0.606630361,20.85,53.01666667,2/25/2020
Panama,PAN,"4,314,767",58.0,30.0,68.0,6.6,24.25,"68,536","1,543",357.6091131,31.5,77.85,3/9/2020
Paraguay,PRY,"7,132,538",18.0,26.0,62.0,18.1,19.1,"40,714",724,101.5066446,36.93333333,50.95,3/6/2020
Peru,PER,"32,971,854",26.0,31.0,79.0,,17.69,"228,989",671,20.35069062,25.86666667,74.85,3/5/2020
Philippines,PHL,"109,581,078",368.0,26.0,47.0,25.75,44.52,"356,814",323,2.947589181,30.9,65.88333333,1/29/2020
Poland,POL,"37,846,611",124.0,42.0,60.0,28.05,16.16,"565,854","1,704",45.02384639,7.05,70.78333333,3/3/2020
Portugal,PRT,"10,196,709",111.0,46.0,66.0,22.6,13.35,"236,408","2,661",260.966553,17.28333333,75.61666667,3/1/2020
US,PRI,"2,860,853",323.0,44.0,88.0,,,"99,913",306,106.9611057,,,
Qatar,QAT,"2,881,053",248.0,32.0,96.0,,7.87,"191,849","3,900",1353.67173,22.91666667,56.98333333,2/28/2020
Republic of the Congo,COG,"5,518,087",16.0,17.0,46.0,,34.27,8723,203,36.78811153,,,3/14/2020
France,REU,"895,312",358.0,36.0,100.0,,,2230,,69.58412272,26.73333333,80.48333333,3/10/2020
Romania,ROU,"19,237,691",84.0,43.0,55.0,29.8,18.8,"243,698","1,090",56.65960639,11.56666667,62.1,2/25/2020
Russia,RUS,"145,934,462",9.0,40.0,74.0,40.9,14.51,"1,637,892","1,414",9.689280932,2.016666667,85.46666667,1/30/2020
Rwanda,RWA,"12,952,218",525.0,20.0,18.0,,25.79,"10,209",143,11.04058008,26.53333333,81.08333333,3/13/2020
Saint Kitts and Nevis,KNA,"53,199",205.0,34.8,32.9,,,"1,032",1443,27124.570010000003,,,3/24/2020
Saint Lucia,LCA,"183,627",301.0,34.0,19.0,,24.89,"1,992",681,3708.6049439999997,27.08333333,75.3,3/12/2020
Saint Vincent and the Grenadines,VCT,"115,000",307.0,33.0,78.0,,18.27,856,470,4086.956522,26.33333333,76.53333333,3/10/2020
San Marino,SMR,"33,931",566.0,47.0,97.0,,,"1,591","3,675",108308.0369,,,2/26/2020
Saudi Arabia,SAU,"34,813,871",16.0,32.0,84.0,15.4,12.41,"779,289","3,121",89.648175,24.5,26.55,3/1/2020
Senegal,SEN,"16,743,927",87.0,19.0,49.0,12.05,22.57,"23,940",97,5.79314518,24.35,63.31666667,3/1/2020
Serbia,SRB,"8,737,371",100.0,42.0,56.0,41.65,23.27,"51,523","1,324",151.5329955,11.45,63.88333333,3/5/2020
Seychelles,SYC,"98,347",214.0,34.0,56.0,25.9,19.52,"1,644",867,8815.723915999999,20.68333333,43.26666667,3/13/2020
Singapore,SGP,"5,850,342",8358.0,42.0,99.0,16.5,8.32,"362,818","3,681",629.1939856,30.2,76.48333333,1/22/2020
Slovakia,SVK,"5,459,642",114.0,41.0,54.0,28.65,11.72,"106,552","2,062",377.68044130000004,9.033333333,71.78333333,3/5/2020
Slovenia,SVN,"2,078,938",103.0,45.0,55.0,20.2,11.89,"54,154","2,734",1315.094534,9.066666667,79.46666667,3/3/2020
Somalia,SOM,"15,893,222",25.0,17.0,47.0,,18.02,"4,958",174,10.94806327,29.2,76.46666667,3/15/2020
South Africa,ZAF,"59,308,690",49.0,28.0,67.0,18.95,44.3,"358,839","1,086",18.31097601,29.81666667,47.68333333,3/4/2020
Spain,ESP,"46,754,778",94.0,45.0,80.0,29.2,16.37,"1,397,870","3,183",68.07860365,16.13333333,65.66666667,1/30/2020
Sri Lanka,LKA,"21,413,249",341.0,34.0,18.0,14.4,21.58,"86,566",353,16.48512096,32.28333333,75.18333333,1/26/2020
Sudan,SDN,"43,849,260",25.0,20.0,35.0,,35.12,"30,873",277,6.317096342999999,38.15,29.83333333,3/12/2020
Suriname,SUR,"586,632",4.0,29.0,65.0,,13.41,"3,774","1,017",1733.6251690000001,29.85,75.86666667,3/12/2020
Sweden,SWE,"10,099,265",25.0,41.0,88.0,20.6,16.17,"528,929","5,299",524.6916484,4.65,76.78333333,1/30/2020
Switzerland,CHE,"8,654,622",219.0,43.0,74.0,23.3,15.22,"715,360","7,583",876.1792254000001,9.45,78.63333333,2/24/2020
Syria,SYR,"17,390,388",95.0,25.6,60.0,,11.71,"60,043",169,9.718012042,,,3/21/2020
Taiwan*,TWN,"23,816,775",673.0,42.0,79.0,,,"586,104",3751,157.49403519999998,20.81666667,71.53333333,1/20/2020
Tanzania,TZA,"59,734,218",67.0,18.0,37.0,15.65,18.09,"62,224",96,1.607119055,25.9,86.98333333,3/15/2020
Thailand,THA,"69,799,978",137.0,40.0,51.0,21.85,25.82,"529,177",610,8.739257769,35.26666667,53.58333333,1/12/2020
Timor-Leste,TLS,"1,318,445",89.0,20.8,32.8,,30.82,"2,938",141,106.9441653,,,3/20/2020
Togo,TGO,"8,278,724",152.0,19.0,43.0,,29.36,"5,502",96,11.59598991,32.8,68.15,3/5/2020
